code_insee,annee,prix_m2_appart,prix_m2_maison,nb_ventes_appart,nb_ventes_maison,nb_ventes_total
17164,2024,1992,1992,0.0,26.0,26
17165,2024,1392,1392,0.0,6.0,6
17166,2024,1971,1971,0.0,12.0,12
17167,2024,1121,1121,0.0,9.0,9
17168,2024,4030,4030,18.0,83.0,101
17171,2024,1699,1699,0.0,10.0,10
17172,2024,1538,1538,0.0,33.0,33
17173,2024,1004,1004,1.0,2.0,3
17174,2024,1697,1697,0.0,10.0,10
17175,2024,1784,1784,0.0,4.0,4
17176,2024,635,635,0.0,1.0,1
17177,2024,833,833,0.0,3.0,3
17179,2024,2030,2030,2.0,9.0,11
17180,2024,914,914,0.0,1.0,1
17181,2024,1816,1816,0.0,6.0,6
17182,2024,1425,1425,0.0,4.0,4
17183,2024,1905,1905,0.0,17.0,17
17184,2024,2073,2073,0.0,7.0,7
17185,2024,2803,2803,0.0,26.0,26
17186,2024,2090,2090,0.0,12.0,12
17187,2024,1282,1282,0.0,3.0,3
17188,2024,1983,1983,0.0,5.0,5
17190,2024,3766,3766,3.0,31.0,34
17191,2024,1732,1732,0.0,3.0,3
17192,2024,1404,1404,0.0,7.0,7
17193,2024,3275,3275,0.0,30.0,30
17194,2024,3114,3114,0.0,40.0,40
17195,2024,1491,1491,0.0,2.0,2
17196,2024,1687,1687,0.0,5.0,5
17197,2024,1998,1998,6.0,26.0,32
17198,2024,1818,1818,0.0,2.0,2
17199,2024,1194,1194,0.0,1.0,1
17200,2024,3781,3781,24.0,95.0,119
17201,2024,1427,1427,0.0,2.0,2
17202,2024,1824,1824,0.0,5.0,5
17203,2024,2281,2281,0.0,11.0,11
17204,2024,1265,1265,0.0,5.0,5
17205,2024,2676,2676,0.0,2.0,2
17206,2024,1162,1162,0.0,5.0,5
17207,2024,6577,6577,0.0,25.0,25
17208,2024,2377,2377,0.0,12.0,12
17209,2024,1226,1226,0.0,2.0,2
17210,2024,937,937,0.0,8.0,8
17211,2024,1558,1558,0.0,5.0,5
17212,2024,1849,1849,0.0,5.0,5
17214,2024,1991,1991,0.0,1.0,1
17215,2024,2036,2036,0.0,1.0,1
17216,2024,1638,1638,0.0,12.0,12
17217,2024,954,954,0.0,5.0,5
17218,2024,1934,1934,12.0,46.0,58
17219,2024,2467,2467,6.0,86.0,92
17220,2024,2019,2019,0.0,3.0,3
17221,2024,1303,1303,0.0,16.0,16
17222,2024,3942,3942,0.0,46.0,46
17224,2024,1203,1203,1.0,27.0,28
17225,2024,4430,4430,9.0,88.0,97
17226,2024,1470,1470,0.0,8.0,8
17227,2024,1298,1298,0.0,3.0,3
17228,2024,3041,3041,6.0,39.0,45
17229,2024,732,732,0.0,3.0,3
17230,2024,3419,3419,13.0,76.0,89
17232,2024,2099,2099,1.0,20.0,21
17233,2024,1708,1708,0.0,1.0,1
17234,2024,1207,1207,0.0,1.0,1
17235,2024,1258,1258,0.0,8.0,8
17236,2024,1165,1165,3.0,10.0,13
17237,2024,1845,1845,0.0,7.0,7
17239,2024,1838,1838,0.0,2.0,2
17240,2024,1467,1467,5.0,41.0,46
17241,2024,1602,1602,0.0,23.0,23
17242,2024,2019,2019,0.0,7.0,7
17243,2024,1095,1095,0.0,10.0,10
17244,2024,2167,2167,1.0,6.0,7
17245,2024,4029,4029,0.0,1.0,1
17246,2024,1649,1649,0.0,7.0,7
17247,2024,3055,3055,1.0,10.0,11
17248,2024,2287,2287,1.0,16.0,17
17249,2024,1175,1175,0.0,1.0,1
17250,2024,1263,1263,0.0,5.0,5
17252,2024,4583,4583,0.0,3.0,3
17253,2024,1839,1839,0.0,16.0,16
17254,2024,1500,1500,0.0,2.0,2
17255,2024,2209,2209,0.0,11.0,11
17256,2024,1846,1846,0.0,1.0,1
17257,2024,962,962,0.0,19.0,19
17258,2024,854,854,0.0,3.0,3
17259,2024,2029,2029,0.0,1.0,1
17260,2024,1437,1437,0.0,5.0,5
17261,2024,811,811,0.0,4.0,4
17262,2024,2040,2040,0.0,8.0,8
17263,2024,1232,1232,0.0,4.0,4
17264,2024,3669,3669,7.0,62.0,69
17265,2024,2139,2139,0.0,13.0,13
17266,2024,966,966,0.0,4.0,4
17267,2024,2583,2583,1.0,16.0,17
17268,2024,628,628,0.0,2.0,2
17269,2024,2207,2207,0.0,4.0,4
17270,2024,2254,2254,0.0,12.0,12
17271,2024,820,820,0.0,8.0,8
17273,2024,1269,1269,0.0,14.0,14
17274,2024,3867,3867,36.0,60.0,96
17275,2024,1939,1939,0.0,13.0,13
17277,2024,1417,1417,0.0,6.0,6
17278,2024,1915,1915,0.0,10.0,10
17279,2024,1512,1512,0.0,7.0,7
17280,2024,2028,2028,0.0,9.0,9
17281,2024,1102,1102,0.0,2.0,2
17282,2024,794,794,0.0,2.0,2
17283,2024,1572,1572,3.0,56.0,59
17284,2024,2153,2153,0.0,17.0,17
17285,2024,1718,1718,0.0,17.0,17
17286,2024,7242,7242,0.0,24.0,24
17288,2024,1418,1418,0.0,3.0,3
17289,2024,2106,2106,0.0,4.0,4
17290,2024,1180,1180,0.0,7.0,7
17291,2024,3545,3545,19.0,65.0,84
17292,2024,1617,1617,0.0,5.0,5
17293,2024,1515,1515,0.0,2.0,2
17294,2024,1253,1253,0.0,1.0,1
17295,2024,1326,1326,1.0,6.0,7
17296,2024,1705,1705,0.0,20.0,20
17297,2024,7366,7366,3.0,22.0,25
17298,2024,1688,1688,0.0,11.0,11
17299,2024,2405,2405,233.0,192.0,425
17300,2024,4805,4805,780.0,448.0,1228
17301,2024,1177,1177,0.0,3.0,3
17302,2024,1962,1962,0.0,3.0,3
17303,2024,1658,1658,0.0,15.0,15
17304,2024,1760,1760,0.0,6.0,6
17305,2024,1623,1623,0.0,6.0,6
17306,2024,4117,4117,347.0,253.0,600
17307,2024,1864,1864,0.0,23.0,23
17308,2024,2083,2083,2.0,25.0,27
17309,2024,1103,1103,0.0,25.0,25
17310,2024,1989,1989,0.0,10.0,10
17311,2024,3157,3157,0.0,20.0,20
17312,2024,1238,1238,0.0,12.0,12
17313,2024,1661,1661,0.0,5.0,5
17314,2024,1552,1552,0.0,7.0,7
17315,2024,3183,3183,0.0,16.0,16
17316,2024,1330,1330,0.0,5.0,5
17317,2024,1363,1363,0.0,4.0,4
17318,2024,5943,5943,1.0,21.0,22
17319,2024,1465,1465,0.0,1.0,1
17320,2024,1594,1594,0.0,7.0,7
17321,2024,1444,1444,0.0,6.0,6
17322,2024,1705,1705,0.0,9.0,9
17323,2024,4024,4024,0.0,42.0,42
17325,2024,1716,1716,0.0,6.0,6
17326,2024,1664,1664,0.0,2.0,2
17327,2024,1184,1184,0.0,2.0,2
17328,2024,1511,1511,0.0,16.0,16
17329,2024,2026,2026,0.0,9.0,9
17330,2024,1692,1692,0.0,24.0,24
17331,2024,1209,1209,0.0,12.0,12
17332,2024,1541,1541,0.0,5.0,5
17333,2024,4220,4220,89.0,117.0,206
17336,2024,2513,2513,0.0,23.0,23
17337,2024,3676,3676,3.0,123.0,126
17338,2024,1718,1718,1.0,14.0,15
17339,2024,1279,1279,0.0,8.0,8
17340,2024,1580,1580,0.0,16.0,16
17342,2024,1395,1395,0.0,5.0,5
17344,2024,1254,1254,0.0,22.0,22
17345,2024,1057,1057,0.0,4.0,4
17346,2024,1852,1852,0.0,21.0,21
17347,2024,1496,1496,19.0,103.0,122
17348,2024,1522,1522,0.0,5.0,5
17349,2024,2127,2127,0.0,25.0,25
17350,2024,1362,1362,0.0,8.0,8
17351,2024,2510,2510,0.0,28.0,28
17353,2024,2669,2669,0.0,30.0,30
17354,2024,1310,1310,0.0,5.0,5
17355,2024,1676,1676,0.0,4.0,4
17356,2024,2260,2260,0.0,4.0,4
17357,2024,901,901,0.0,2.0,2
17358,2024,1631,1631,0.0,7.0,7
17359,2024,1872,1872,0.0,13.0,13
17360,2024,7484,7484,0.0,75.0,75
17361,2024,1579,1579,0.0,6.0,6
17362,2024,2230,2230,0.0,4.0,4
17363,2024,1596,1596,0.0,4.0,4
17364,2024,1440,1440,0.0,2.0,2
17365,2024,1421,1421,0.0,4.0,4
17366,2024,1240,1240,0.0,9.0,9
17367,2024,1027,1027,0.0,4.0,4
17369,2024,7661,7661,17.0,21.0,38
17372,2024,1451,1451,0.0,3.0,3
17373,2024,2632,2632,0.0,22.0,22
17374,2024,1473,1473,0.0,3.0,3
17375,2024,2240,2240,0.0,22.0,22
17376,2024,2928,2928,0.0,22.0,22
17377,2024,788,788,0.0,2.0,2
17378,2024,1327,1327,0.0,5.0,5
17379,2024,1905,1905,0.0,1.0,1
17380,2024,5147,5147,44.0,97.0,141
17381,2024,1517,1517,0.0,3.0,3
17382,2024,1763,1763,0.0,8.0,8
17383,2024,1254,1254,0.0,4.0,4
17384,2024,1082,1082,0.0,1.0,1
17385,2024,3707,3707,16.0,150.0,166
17386,2024,1250,1250,0.0,1.0,1
17387,2024,2135,2135,1.0,22.0,23
17388,2024,1658,1658,0.0,6.0,6
17389,2024,2136,2136,0.0,5.0,5
17390,2024,2068,2068,0.0,1.0,1
17391,2024,3481,3481,0.0,15.0,15
17393,2024,2005,2005,1.0,15.0,16
17394,2024,1216,1216,0.0,12.0,12
17395,2024,1785,1785,0.0,7.0,7
17396,2024,2356,2356,0.0,14.0,14
17397,2024,1794,1794,1.0,27.0,28
17398,2024,1286,1286,0.0,1.0,1
17400,2024,1267,1267,0.0,2.0,2
17401,2024,1046,1046,0.0,2.0,2
17402,2024,1654,1654,0.0,1.0,1
17403,2024,1796,1796,0.0,2.0,2
17404,2024,1824,1824,0.0,6.0,6
17405,2024,1516,1516,0.0,2.0,2
17406,2024,3183,3183,0.0,5.0,5
17407,2024,3089,3089,3.0,53.0,56
17408,2024,1623,1623,0.0,12.0,12
17409,2024,3066,3066,4.0,40.0,44
17410,2024,1373,1373,0.0,7.0,7
17411,2024,3943,3943,0.0,27.0,27
17412,2024,2073,2073,0.0,11.0,11
17413,2024,3399,3399,0.0,13.0,13
17414,2024,3393,3393,2.0,60.0,62
17415,2024,2158,2158,105.0,242.0,347
17416,2024,644,644,0.0,1.0,1
17417,2024,1244,1244,0.0,2.0,2
17418,2024,1448,1448,0.0,5.0,5
17420,2024,2984,2984,0.0,20.0,20
17421,2024,2692,2692,19.0,113.0,132
17423,2024,1175,1175,0.0,3.0,3
17424,2024,1440,1440,0.0,3.0,3
17425,2024,2643,2643,0.0,35.0,35
17426,2024,1218,1218,0.0,8.0,8
17427,2024,857,857,0.0,2.0,2
