code_insee,nb_auberges,nb_campings,nb_hãtel_de_tourisme,nb_parc_rãsidentiel_de_lois,nb_rãsidence_de_tourisme,nb_villages_vac,total_hebergements,capacite_totale,nb_chambres_total
19031,0,0,18,0,0,0,18,1777,754.0
21054,0,1,39,0,1,0,41,4961,1738.0
21231,1,1,39,0,5,0,46,7148,2647.0
22113,0,3,4,0,1,0,8,2040,177.0
22278,0,1,8,0,0,0,9,986,335.0
24037,0,1,9,0,1,0,11,1394,312.0
26362,0,0,18,0,3,0,21,2933,970.0
27681,1,0,1,0,0,0,2,200,75.0
28085,0,1,16,0,1,0,18,2525,911.0
28134,0,0,7,0,0,0,7,738,337.0
29019,0,1,28,0,3,0,32,4489,1545.0
29039,0,5,8,0,1,0,14,3235,265.0
29232,0,1,16,0,1,0,18,2967,806.0
2A004,0,1,25,0,7,0,33,4370,1257.0
2B033,0,0,20,0,0,0,20,1323,614.0
31069,0,0,18,0,2,0,20,4336,1819.0
31149,0,0,2,0,2,0,4,849,116.0
31157,0,0,1,0,0,0,1,72,36.0
31555,1,2,76,0,22,0,101,19389,5343.0
32013,0,1,6,1,0,0,8,458,197.0
33063,2,0,74,0,15,0,91,16318,5821.0
33069,0,0,1,0,0,0,1,16,8.0
33075,0,1,3,0,1,0,5,1954,212.0
33119,0,0,1,0,0,0,1,190,80.0
33162,0,0,4,0,0,0,4,499,227.0
33192,0,1,8,0,0,1,10,955,323.0
33199,0,2,1,0,1,0,4,1276,77.0
33243,0,0,4,0,1,0,5,586,188.0
33249,0,0,6,0,0,0,6,895,408.0
33318,0,0,5,0,3,0,8,1620,358.0
33522,0,0,0,0,3,0,3,575,0.0
33529,0,4,7,1,2,0,14,4556,360.0
33550,0,0,6,0,0,0,6,948,412.0
34003,0,26,23,0,8,3,60,34251,590.0
34057,0,0,2,0,0,0,2,197,94.0
34108,0,4,2,0,0,0,6,1476,66.0
34145,0,3,4,0,0,0,7,2106,205.0
34172,1,0,48,0,11,0,60,9938,3112.0
35238,1,1,32,0,4,0,38,5683,1946.0
35288,1,3,64,0,3,0,71,8832,2450.0
37261,0,0,44,0,4,0,48,5500,2059.0
38053,0,0,4,0,0,0,4,510,226.0
38185,0,0,25,0,7,0,32,5580,1750.0
38544,0,0,4,0,0,0,4,459,197.0
38563,0,0,3,0,0,0,3,357,147.0
39198,0,1,6,0,0,0,7,969,222.0
40088,0,2,13,0,7,0,22,4339,753.0
40192,0,0,8,0,0,0,8,512,237.0
41018,0,0,22,0,2,0,24,2810,989.0
42187,0,0,5,0,0,0,5,503,228.0
42207,1,0,1,0,0,0,2,163,80.0
44020,0,0,3,0,0,0,3,555,245.0
44026,0,0,6,0,3,0,9,1412,341.0
44035,0,0,2,0,1,0,3,889,363.0
44109,2,1,48,0,13,0,64,10283,2865.0
44114,0,0,4,0,0,0,4,338,155.0
44162,0,0,13,0,2,0,15,2372,811.0
44184,0,2,11,0,3,0,16,3601,554.0
44215,0,0,2,0,0,0,2,86,44.0
45232,0,1,4,0,0,0,5,596,198.0
45284,0,0,4,0,0,0,4,831,302.0
46042,1,1,10,0,0,0,12,1238,411.0
47001,0,0,8,0,1,0,9,1196,425.0
47323,0,0,4,0,0,0,4,207,96.0
49007,1,0,22,0,3,0,26,3152,1148.0
49099,0,1,13,0,1,0,15,3339,686.0
49328,0,2,17,0,1,0,20,2743,549.0
50129,0,1,7,0,0,0,8,996,310.0
51454,0,0,37,0,5,0,42,5922,2193.0
52121,0,0,5,0,0,0,5,426,192.0
